Title,TomatometerScore,AudienceScore,Rating,Genre,Director,R. Date (Theaters),R. Date (Streaming),Runtime
Unbranded,75.0,84.0,PG-13,documentary,PhillipBaribeau,2015-09-25,2017-01-30,105.0
Once I Was A Beehive,75.0,70.0,PG,drama,MaclainNelson,2015-08-14,2016-08-10,119.0
Applesauce,63.0,61.0,NR,comedy,OnurTukel,,2016-08-18,91.0
We Are Your Friends,38.0,42.0,R,drama,MaxJoseph,2015-08-28,2016-06-28,96.0
Zarafa,75.0,65.0,NR,history,"RémiBezançon,Jean-ChristopheLie",2015-07-03,2016-11-04,78.0
The Girls In The Band,100.0,57.0,NR,music,JudyChaikin,,2016-12-12,81.0
Inside Out,98.0,89.0,PG,fantasy,PeteDocter,2015-06-19,2015-11-03,95.0
Vacation,27.0,45.0,R,adventure,"JonathanM.Goldstein,JohnFrancisDaley",2015-07-29,2016-05-23,99.0
Terminator Genisys,27.0,53.0,PG-13,scifi,AlanTaylor,2015-07-01,2016-06-07,126.0
Matt Shepard Is A Friend Of Mine,100.0,86.0,NR,biography,MicheleJosue,,2016-07-29,89.0
Stations Of The Cross,92.0,74.0,NR,drama,DietrichBrüggemann,,2016-08-04,107.0
We'll Never Have Paris,33.0,18.0,R,romance,"SimonHelberg,JocelynTowne",2015-01-23,2016-04-14,95.0
Far From Men,84.0,72.0,NR,drama,DavidOelhoffen,2015-05-01,2016-08-10,102.0
Before We Go,27.0,56.0,PG-13,drama,ChrisEvans,2015-09-04,2016-08-18,95.0
Seymour: An Introduction,100.0,78.0,PG,documentary,EthanHawke,2015-03-13,2016-12-05,81.0
Do I Sound Gay?,81.0,47.0,NR,documentary,DavidThorpe,2015-07-10,2017-03-31,77.0
She's Funny That Way,44.0,35.0,R,romance,PeterBogdanovich,2015-08-21,2016-08-23,93.0
Toy Story That Time Forgot,100.0,82.0,NR,nan,StevePurcell(II),,2018-06-01,
Elf: Buddy's Musical Christmas,89.0,42.0,NR,nan,MarkCaballero,,2018-07-24,
Bloodsucking Bastards,67.0,48.0,NR,horror,BrianJamesO'Connell,2015-09-04,2016-10-25,87.0
The End Of The Tour,92.0,81.0,R,drama,JamesPonsoldt,2015-07-31,2016-08-15,106.0
Best Of Enemies,93.0,85.0,R,biography,"MorganNeville,RobertGordon",2015-07-31,2016-11-09,88.0
Digging For Fire,64.0,41.0,R,drama,JoeSwanberg,2015-08-21,2015-08-25,83.0
Tangerine,96.0,76.0,R,drama,SeanBaker,2015-07-10,2017-01-31,87.0
The Final Girls,72.0,70.0,PG-13,horror,ToddStrauss-Schulson,2015-10-09,2017-02-08,88.0
Mr. Holmes,88.0,70.0,PG,mysteryandthriller,BillCondon,2015-07-24,2016-05-13,105.0
My Italian Secret: The Forgotten Heroes,80.0,69.0,NR,biography,OrenJacoby,,2016-12-05,92.0
Winning: The Racing Life Of Paul Newman,90.0,91.0,NR,biography,"AdamCarolla,NateAdams",,2016-02-05,83.0
Bound To Vengeance,20.0,33.0,NR,horror,JoséManuelCravioto,2015-06-26,2016-12-05,80.0
Tap World,86.0,59.0,NR,music,DeanHargrove,,2016-12-05,72.0
Wild City,50.0,35.0,NR,action,RingoLam,2015-07-31,2015-11-10,104.0
The Diabolical,40.0,19.0,NR,horror,AlistairLegrand,2015-10-16,2017-02-06,86.0
Rebels Of The Neon God,100.0,77.0,NR,drama,Ming-liangTsai,2015-04-10,2016-08-10,106.0
The Forgotten Space,71.0,40.0,NR,documentary,"NoëlBurch,AllanSekula",,2016-02-17,116.0
Southpaw,59.0,75.0,R,drama,AntoineFuqua,2015-07-24,2016-08-10,123.0
Pixels,17.0,46.0,PG-13,action,ChrisColumbus,2015-07-24,2016-05-23,106.0
The Human Centipede III (Final Sequence),17.0,10.0,NR,horror,TomSix,2015-05-22,2016-12-05,103.0
Jurassic World,70.0,78.0,PG-13,action,ColinTrevorrow,2015-06-12,2016-09-06,124.0
San Andreas,50.0,52.0,PG-13,adventure,BradPeyton,2015-05-29,2016-06-28,114.0
Seeds Of Time,67.0,50.0,NR,documentary,SandyMcLeod,,2016-09-13,77.0
Drug Lord: The Legend Of Shorty,63.0,43.0,NR,documentary,AngusMacQueen,2014-11-14,2016-08-10,90.0
Güeros,92.0,79.0,NR,comedy,AlonsoRuizPalacios,2015-05-20,2016-10-21,108.0
Max,38.0,70.0,PG,adventure,BoazYakin,2015-06-26,2016-06-28,111.0
Xenia,86.0,55.0,NR,drama,PanosH.Koutras,2015-10-09,2016-08-10,128.0
Tu Dors Nicole,100.0,66.0,NR,drama,StéphaneLaFleur,,2017-02-09,93.0
Testament Of Youth,84.0,78.0,PG-13,biography,JamesKent,2015-06-05,2016-11-30,129.0
Paper Towns,58.0,47.0,PG-13,adventure,JakeSchreier,2015-07-24,2015-10-09,109.0
Sunset Edge,69.0,66.0,NR,drama,DanielPeddle,2015-05-29,2016-10-27,83.0
Cut Snake,69.0,46.0,R,crime,TonyAyres,2015-10-16,2015-11-24,94.0
Meet Me In Montenegro,50.0,59.0,NR,romance,"AlexHoldridge,LinneaSaasen",2015-07-10,2016-03-08,90.0
Hungry Hearts,63.0,56.0,NR,drama,SaverioCostanzo,2015-06-05,2017-04-04,112.0
"One Cut, One Life",100.0,36.0,NR,biography,"EdPincus,LuciaSmall",,2017-03-18,107.0
Gloria,100.0,67.0,R,biography,ChristianKeller,,2016-01-05,126.0
Z For Zachariah,79.0,45.0,PG-13,scifi,CraigZobel,2015-08-28,2016-06-07,97.0
The Wolfpack,86.0,68.0,R,biography,CrystalMoselle,2015-06-12,2016-12-05,89.0
The Gift,91.0,75.0,R,mysteryandthriller,JoelEdgerton,2015-08-07,2016-09-06,108.0
Faith Of Our Fathers,9.0,56.0,PG-13,drama,CareyScott,2015-07-01,2016-05-03,96.0
7 Chinese Brothers,78.0,44.0,NR,comedy,BobByington,2015-08-28,2015-10-28,75.0
The Gallows,14.0,22.0,R,horror,"ChrisLofing,TravisCluff",2015-07-10,2016-06-28,81.0
Dragon Ball Z: Resurrection 'F',83.0,84.0,NR,kidsandfamily,TadayoshiYamamuro,2015-08-04,2016-08-03,93.0
After Words,44.0,55.0,NR,drama,JuanFeldman,2015-08-21,2016-11-18,91.0
The Vatican Tapes,20.0,59.0,PG-13,horror,MarkNeveldine,2015-07-24,2016-05-13,89.0
Tomorrowland,50.0,49.0,PG,scifi,BradBird,2015-05-22,2015-10-13,129.0
What We Did On Our Holiday,73.0,71.0,PG-13,comedy,"AndyHamilton,GuyJenkin",2015-07-10,2016-08-26,95.0
Dark Places,23.0,33.0,R,mysteryandthriller,GillesPaquet-Brenner,2015-08-07,2016-08-05,103.0
Particle Fever,96.0,83.0,NR,documentary,MarkA.Levinson,,2016-05-27,97.0
Blackwood,40.0,35.0,NR,adventure,AdamWimpenny,,2017-01-14,90.0
The Falling,73.0,35.0,NR,drama,CarolMorley,2015-08-07,2016-08-09,102.0
Manglehorn,51.0,24.0,PG-13,drama,DavidGordonGreen,2015-06-19,2016-11-30,97.0
Insidious: Chapter 3,57.0,51.0,PG-13,horror,LeighWhannell,2015-06-05,2016-11-01,97.0
Harmontown,76.0,79.0,NR,documentary,NeilBerkeley,,2016-03-07,101.0
Magic Mike XXL,65.0,55.0,R,drama,GregoryJacobs,2015-07-01,2016-06-28,115.0
The Anomaly,0.0,24.0,NR,scifi,NoelClarke,,2016-11-30,97.0
Amour Fou,88.0,49.0,NR,history,JessicaHausner,,2016-02-05,96.0
Mateo,63.0,50.0,NR,documentary,AaronI.Naar,2015-08-21,2016-12-19,88.0
Awake: The Life Of Yogananda,64.0,70.0,PG,documentary,"PaoladiFlorio,LisaLeeman",2014-10-10,2016-03-22,87.0
The Little Death,61.0,64.0,NR,romance,JoshLawson,2015-06-26,2016-11-18,96.0
Sharknado 3: Oh Hell No!,36.0,28.0,TV14,action,AnthonyC.Ferrante,,2016-10-11,88.0
Gravy,30.0,43.0,NR,horror,JamesRodayRodriguez,2015-10-02,2016-11-01,95.0
Last Shift,100.0,51.0,R,horror,AnthonyDiBlasi,,2016-11-05,90.0
Air,17.0,24.0,PG-13,scifi,ChristianCantamessa,2015-08-14,2017-02-07,95.0
When Marnie Was There,91.0,88.0,PG,anime,HiromasaYonebayashi,2015-05-22,2019-12-12,103.0
Batkid Begins,82.0,83.0,PG,documentary,DanaNachman,2015-06-26,2016-10-25,89.0
Going Clear: Scientology And The Prison Of Belief,95.0,90.0,NR,documentary,AlexGibney,,2016-08-10,119.0
Me And Earl And The Dying Girl,81.0,86.0,PG-13,drama,AlfonsoGomez-Rejon,2015-07-03,2015-10-02,105.0
People Places Things,76.0,72.0,R,comedy,JamesC.Strouse,2015-08-14,2016-05-11,86.0
Ten Thousand Saints,58.0,36.0,R,drama,"ShariSpringerBerman,RobertPulcini",2015-08-14,2015-10-07,106.0
Road Hard,50.0,76.0,NR,comedy,AdamCarolla,2015-03-06,2016-11-02,98.0
We Are Still Here,95.0,47.0,NR,horror,TedGeoghegan,,2016-10-31,84.0
Final Girl,31.0,24.0,R,action,TylerShields,2015-08-14,2016-11-01,90.0
Pod,80.0,25.0,R,horror,MickeyKeating,2015-08-28,2016-12-06,78.0
Poltergeist,31.0,22.0,PG-13,horror,GilKenan,2015-05-22,2015-09-04,93.0
"Electric Boogaloo: The Wild, Untold Story Of Cannon Films",91.0,81.0,R,documentary,MarkHartley,,2016-11-21,106.0
Avengers: Age Of Ultron,76.0,83.0,PG-13,adventure,JossWhedon,2015-05-01,2015-09-08,141.0
Blumenthal,56.0,48.0,NR,comedy,SethFisher,,2017-02-13,96.0
Pitch Perfect 2,65.0,64.0,PG-13,musical,ElizabethBanks,2015-05-15,2016-05-23,115.0
The Connection,77.0,71.0,R,action,CédricJimenez,2015-05-15,2016-10-04,135.0
Return To Sender,14.0,24.0,NR,mysteryandthriller,FouadMikati,2015-08-14,2016-10-04,95.0
Tio Papi,29.0,39.0,PG,drama,FroRojas,,2016-08-10,86.0
Spy,95.0,78.0,R,comedy,PaulFeig,2015-06-05,2015-09-04,115.0
Entourage,33.0,57.0,R,comedy,DougEllin,2015-06-03,2016-05-03,104.0
Saint Laurent,60.0,40.0,R,biography,BertrandBonello,2015-05-08,2016-11-30,151.0
Get Married If You Can,20.0,35.0,NR,comedy,MarcoPoloConstandse,,2016-05-23,107.0
Aloft,17.0,25.0,R,drama,ClaudiaLlosa,2015-05-22,2016-11-30,116.0
In The Courtyard,71.0,47.0,R,drama,PierreSalvadori,,2016-10-06,97.0
The Only Real Game,100.0,65.0,NR,documentary,MirraBank,,2016-09-22,82.0
"Bai Ri Yan Huo (Black Coal, Thin Ice)",96.0,59.0,NR,crime,YinanDiao,,2015-09-28,106.0
Soul Boys Of The Western World,72.0,58.0,NR,biography,GeorgeHencken,,2017-04-04,110.0
Ardor,36.0,26.0,R,adventure,PabloFendrik,2015-07-17,2016-05-13,100.0
Famous Nathan,100.0,69.0,NR,documentary,LloydHandwerker,,2016-09-29,96.0
The Human Experiment,50.0,61.0,NR,documentary,"DonHardyJr.,DanaNachman",2015-04-17,2016-06-03,52.0
The Great Museum,67.0,42.0,NR,documentary,JohannesHolzhausen,,2016-09-22,94.0
Lyle,100.0,35.0,NR,horror,StewartThorndike,,2016-08-10,65.0
1001 Grams,82.0,48.0,NR,drama,BentHamer,,2016-10-06,93.0
The Farewell Party,94.0,73.0,NR,drama,"SharonMaymon,TalGranit",,2016-06-10,90.0
Felix & Meira,78.0,61.0,R,drama,MaximeGiroux,,2016-10-27,106.0
A Murder In The Park,76.0,67.0,PG-13,documentary,"ChristopherS.Rech,BrandonKimber",2015-06-26,2016-11-30,91.0
Cop Car,80.0,53.0,R,mysteryandthriller,JonWatts,2015-08-07,2016-01-05,88.0
Fresh Dressed,91.0,56.0,NR,documentary,SachaJenkins,2015-06-26,2016-12-05,84.0
Unexpected,66.0,44.0,R,drama,KrisSwanberg,2015-07-24,2016-05-22,85.0
Zipper,20.0,26.0,R,mysteryandthriller,MoraStephens,2015-08-28,2016-04-27,112.0
Results,84.0,36.0,R,romance,AndrewBujalski,2015-05-29,2016-11-30,104.0
Big Sky,18.0,10.0,NR,mysteryandthriller,JorgeMichelGrau,2015-08-14,2015-08-14,90.0
Showrunners: The Art Of Running A TV Show,67.0,61.0,NR,documentary,DesDoyle,,2016-08-10,90.0
Cinderella,84.0,78.0,PG,fantasy,KennethBranagh,2015-03-13,2015-09-15,105.0
Queen And Country,77.0,46.0,NR,drama,JohnBoorman,2015-02-18,2016-11-18,115.0
Furious 7,82.0,82.0,PG-13,adventure,JamesWan,2015-04-03,2016-03-01,137.0
Love & Mercy,89.0,85.0,PG-13,biography,BillPohlad,2015-06-05,2016-06-18,120.0
Misery Loves Comedy,36.0,33.0,NR,documentary,KevinPollak,2015-04-24,2016-08-10,94.0
Closer To The Moon,46.0,55.0,NR,drama,NaeCaranfil,,2017-04-02,110.0
The Town That Dreaded Sundown,66.0,40.0,R,horror,AlfonsoGomez-Rejon,2014-10-16,2016-10-06,85.0
The Age Of Adaline,54.0,67.0,PG-13,fantasy,LeeTolandKrieger,2015-04-24,2016-05-27,113.0
Diplomacy,94.0,81.0,NR,drama,VolkerSchlöndorff,,2015-03-10,88.0
The Heart Machine,95.0,48.0,NR,drama,ZacharyWigon,,2016-08-10,85.0
The Last Impresario,94.0,44.0,NR,biography,GracieOtto,,2015-11-05,85.0
Disneynature Monkey Kingdom,93.0,76.0,G,documentary,"MarkLinfield,AlastairFothergill",2015-04-17,2016-08-10,82.0
In The Name Of My Daughter,52.0,43.0,R,drama,AndréTéchiné,2015-05-15,2016-09-22,122.0
United Passions,0.0,11.0,NR,history,FrédéricAuburtin,2015-06-05,2016-08-10,110.0
The Editor,55.0,59.0,NR,horror,"AdamBrooks,MatthewKennedy",,2016-09-09,102.0
Glen Campbell: I'll Be Me,100.0,88.0,PG,biography,JamesKeach,2014-10-24,2016-12-05,105.0
Backcountry,92.0,53.0,R,adventure,AdamMacDonald,,2016-11-30,92.0
American Heist,13.0,18.0,R,action,SarikAndreasyan,2015-07-24,2016-06-23,90.0
Good Kill,75.0,49.0,R,war,AndrewNiccol,2015-05-15,2016-11-30,102.0
Heaven Knows What,87.0,66.0,R,drama,"JoshuaSafdie,BenSafdie",2015-05-29,2016-09-15,95.0
Paper Planes,85.0,63.0,NR,adventure,RobertConnolly,,2015-09-08,96.0
Red Knot,89.0,45.0,NR,drama,ScottCohen,,2015-07-07,80.0
Reality (Réalité),64.0,66.0,NR,comedy,QuentinDupieux,,2017-04-04,95.0
The Other Man: F.W. De Klerk And The End Of Apartheid,50.0,33.0,NR,documentary,NicolasRossier,,2017-03-07,76.0
The Overnight,83.0,54.0,R,comedy,PatrickBrice,2015-06-19,2016-04-25,78.0
Nightingale,82.0,60.0,TV14,drama,ElliottLester,,2016-08-10,83.0
That Sugar Film,68.0,75.0,NR,documentary,DamonGameau,2015-07-31,2016-08-10,94.0
The D Train,53.0,23.0,R,drama,"JarradPaul,AndrewMogel",2015-05-08,2016-11-30,100.0
Harbinger Down,43.0,19.0,R,horror,AlecGillis,2015-08-07,2016-12-05,82.0
Safelight,0.0,35.0,R,drama,TonyAloupis,2015-07-17,2016-04-03,84.0
I'll See You In My Dreams,93.0,68.0,PG-13,drama,BrettHaley,2015-05-15,2016-04-02,85.0
About Elly,99.0,84.0,NR,drama,AsgharFarhadi,,2016-08-10,119.0
Mad Max: Fury Road,97.0,85.0,R,adventure,GeorgeMiller,2015-05-15,2016-08-10,120.0
Broken Horses,25.0,43.0,R,action,VidhuVinodChopra,2015-04-10,2016-11-30,101.0
Aloha,20.0,28.0,PG-13,romance,CameronCrowe,2015-05-29,2016-09-13,105.0
Big Game,78.0,34.0,PG-13,adventure,JalmariHelander,2015-06-26,2015-06-26,90.0
The Turning,86.0,54.0,R,drama,"JonathanaufderHeide,TonyAyres,RobertConnolly,JubClerc",,2016-04-12,180.0
Our Man In Tehran,83.0,76.0,NR,documentary,"LarryWeinstein,DrewTaylor",,2020-04-17,85.0
"Two Days, One Night",97.0,76.0,PG-13,drama,"Jean-PierreDardenne,LucDardenne",2014-12-24,2016-10-26,95.0
Animals,85.0,70.0,NR,drama,CollinSchiffli,2015-05-15,2016-09-01,86.0
Dior And I,84.0,76.0,R,documentary,FrédéricTcheng,,2016-03-09,90.0
Boulevard,52.0,30.0,R,drama,DitoMontiel,2015-07-10,2016-04-27,88.0
Five Star,75.0,51.0,NR,drama,KeithMiller,2015-07-24,2016-12-05,82.0
Blood Punch,89.0,63.0,NR,horror,MadellainePaxson,,2016-09-01,104.0
The Suicide Theory,79.0,69.0,R,drama,DruBrown,2015-07-10,2017-04-04,98.0
Gemma Bovery,54.0,43.0,R,drama,AnneFontaine,2015-05-29,2016-08-10,99.0
The Harvest,72.0,42.0,NR,mysteryandthriller,JohnMcNaughton,,2016-12-05,104.0
The Face Of An Angel,37.0,10.0,NR,drama,MichaelWinterbottom,2015-06-19,2015-09-01,101.0
Urok (The Lesson),83.0,68.0,NR,drama,"KristinaGrozeva,PetarValchanov",,2016-12-25,107.0
Citizenfour,96.0,87.0,R,documentary,LauraPoitras,2014-10-24,2016-08-25,114.0
Felt,64.0,37.0,NR,horror,JasonBanker,2015-06-26,2016-08-10,80.0
Banksy Does New York,100.0,75.0,NR,documentary,ChrisMoukarbel,,2017-05-22,79.0
Dark Was The Night,52.0,35.0,NR,horror,JackHeller,2015-07-24,2016-11-01,98.0
Hangar 10,14.0,17.0,NR,horror,DanielSimpson,,2017-04-04,107.0
Iris,98.0,80.0,PG-13,biography,AlbertMaysles,2015-04-29,2016-11-20,83.0
Lila & Eve,40.0,41.0,R,crime,CharlesStoneIII,2015-07-17,2016-04-14,94.0
Amnesiac,27.0,14.0,NR,mysteryandthriller,MichaelPolish,2015-08-14,2016-12-19,84.0
Where Hope Grows,50.0,75.0,PG-13,drama,ChrisDowling,2015-05-15,2016-05-24,96.0
Beyond The Mask,29.0,70.0,PG,action,ChadBurns,2015-06-05,2017-03-10,118.0
Bessie,90.0,68.0,TVMA,biography,DeeRees,,2016-11-20,120.0
6 Ways To Die,40.0,25.0,NR,action,NadeemSoumah,2015-07-31,2015-07-31,103.0
The Color Wheel,78.0,56.0,NR,comedy,AlexRossPerry,,2016-08-10,83.0
Lost For Words,33.0,54.0,NR,drama,StanleyJ.Orzel,2014-09-18,2017-05-17,107.0
The Seventh Dwarf,22.0,29.0,PG,animation,"BorisAljinovic,HaraldSiepermann",2015-07-31,2016-08-18,88.0
The 100-Year-Old Man Who Climbed Out The Window And Disappeared,68.0,69.0,R,adventure,FelixHerngren,2015-05-01,2016-08-10,114.0
Police Story: Lockdown,25.0,33.0,NR,action,ShengDing,2015-06-05,2015-06-05,110.0
Little Boy,24.0,78.0,PG-13,history,AlejandroMonteverde,2015-04-24,2015-12-30,106.0
Lambert & Stamp,89.0,52.0,R,documentary,JamesD.Cooper,2015-04-03,2016-11-29,117.0
The Riot Club (Posh),67.0,43.0,R,drama,LoneScherfig,2015-03-27,2016-11-30,107.0
5 To 7,70.0,71.0,R,romance,VictorLevin,2015-04-03,2016-11-30,98.0
The Kidnapping Of Michel Houellebecq,91.0,66.0,NR,drama,GuillaumeNicloux,,2016-12-20,93.0
Soaked In Bleach,30.0,76.0,NR,crime,BenjaminStatler,2015-06-11,2016-06-30,100.0
I Am Big Bird: The Caroll Spinney Story,84.0,79.0,NR,biography,"DaveLaMattina,ChadN.Walker",2015-05-08,2016-08-10,90.0
Ejecta,40.0,15.0,NR,scifi,"ChadArchibald,MattWiele",,2017-04-04,87.0
Love At First Fight,82.0,65.0,NR,romance,ThomasCailley,2015-05-22,2016-08-10,98.0
After The Ball,27.0,43.0,NR,romance,SeanGarrity,2015-04-24,2017-04-04,102.0
October Gale,19.0,20.0,NR,mysteryandthriller,RubaNadda,,2017-04-04,91.0
Preggoland,44.0,36.0,NR,drama,JacobTierney,2015-05-08,2016-12-30,109.0
Cub (Welp),38.0,33.0,NR,horror,JonasGovaerts,,2017-01-12,85.0
La Sapienza,88.0,50.0,NR,drama,EugèneGreen,,2016-03-22,97.0
The Yes Men Are Revolting,81.0,55.0,NR,documentary,LauraNix,2015-06-12,2016-03-08,91.0
Unfriended,62.0,36.0,R,horror,LevanGabriadze,2015-04-17,2016-01-26,83.0
Strangerland,41.0,24.0,R,drama,KimFarrant,2015-07-10,2016-05-22,111.0
The Nightmare,67.0,43.0,NR,documentary,RodneyAscher,,2016-09-01,90.0
Robot Overlords,61.0,24.0,PG-13,scifi,JonWright,,2015-07-03,89.0
Skin Trade,25.0,30.0,R,action,EkachaiUekrongtham,,2016-11-29,96.0
Club Life,20.0,17.0,R,drama,FabrizioConte,2015-05-29,2016-03-08,90.0
I Am Chris Farley,71.0,77.0,NR,documentary,"DerikMurray,BrentHodge",2015-07-31,2016-05-22,95.0
10 Cent Pistol,43.0,29.0,NR,crime,MichaelC.Martin,2015-07-24,2015-07-24,91.0
Child 44,27.0,41.0,R,mysteryandthriller,DanielEspinosa,2015-04-17,2016-08-26,137.0
Insurgent,28.0,58.0,PG-13,scifi,RobertSchwentke,2015-03-20,2016-08-27,118.0
Hunting Elephants,36.0,61.0,NR,comedy,ReshefLevi,,2015-08-11,107.0
Far From The Madding Crowd,84.0,75.0,PG-13,drama,ThomasVinterberg,2015-05-01,2016-10-13,118.0
52 Tuesdays,89.0,65.0,NR,drama,SophieHyde,,2016-08-10,109.0
Every Secret Thing,32.0,32.0,R,crime,AmyBerg,2015-05-15,2016-11-30,93.0
Second Opinion: Laetrile At Sloan-Kettering,58.0,73.0,NR,documentary,EricMerola,,2016-09-06,76.0
Faults,91.0,68.0,NR,drama,RileyStearns,2015-03-06,2015-09-01,89.0
The Rise And Rise Of Bitcoin,67.0,79.0,NR,documentary,NicholasMross,2014-10-10,2016-08-10,90.0
Match,76.0,67.0,R,drama,StephenBelber,2015-01-14,2016-05-21,92.0
Comet,42.0,52.0,R,drama,SamEsmail,2014-12-05,2015-11-05,90.0
Jauja,88.0,50.0,NR,drama,LisandroAlonso,,2016-08-10,108.0
Madame Bovary,43.0,26.0,R,history,SophieBarthes,2015-06-12,2015-12-12,118.0
The Salvation,72.0,62.0,R,drama,KristianLevring,2015-02-27,2016-11-30,89.0
The Last Survivors (The Well),75.0,,NR,horror,TomHammock,,2016-08-18,95.0
Teacher Of The Year,100.0,59.0,NR,comedy,JasonStrouse,,2015-11-02,80.0
Inner Demons,64.0,33.0,NR,horror,SethGrossman,,2016-12-05,85.0
The Outrageous Sophie Tucker,74.0,61.0,NR,documentary,WilliamGazecki,,2016-08-10,96.0
A Little Chaos,48.0,49.0,R,history,AlanRickman,2015-06-26,2016-10-08,116.0
The Dead Lands,69.0,57.0,R,horror,ToaFraser,2015-04-17,2016-11-20,108.0
Adult Beginners,48.0,30.0,R,drama,RossKatz,2015-04-24,2016-08-10,92.0
True Story,45.0,38.0,R,crime,RupertGoold,2015-04-17,2016-09-15,104.0
Jackie & Ryan,64.0,40.0,PG-13,drama,AmiCanaanMann,2015-07-03,2015-07-16,90.0
Burying The Ex,28.0,30.0,R,horror,JoeDante,2015-06-19,2016-12-05,85.0
Patch Town,75.0,57.0,NR,fantasy,CraigGoodwill,2014-06-05,2017-03-26,84.0
Do You Believe?,25.0,83.0,PG-13,drama,JonathanM.Gunn,,2016-05-04,115.0
A La Mala,43.0,75.0,PG-13,romance,PitipolYbarra,2015-02-27,2016-08-26,106.0
Any Day,0.0,20.0,NR,drama,RustamBranaman,2015-05-01,2016-11-18,98.0
Justice League: Gods And Monsters,88.0,71.0,PG-13,action,SamLiu,,2015-08-03,72.0
Runoff,83.0,79.0,R,drama,KimberlyLevin,2015-06-26,2015-08-18,90.0
Greedy Lying Bastards,68.0,54.0,PG-13,documentary,CraigScottRosebraugh,2013-03-08,2016-08-19,90.0
Home,51.0,64.0,PG,animation,TimJohnson,2015-03-27,2015-11-24,94.0
The Longest Ride,31.0,71.0,PG-13,drama,GeorgeTillmanJr.,2015-04-10,2016-01-04,128.0
Gore Vidal: The United States Of Amnesia,83.0,84.0,NR,documentary,NicholasD.Wrathall,2014-05-23,2016-12-05,89.0
Heli,59.0,62.0,NR,drama,AmatEscalante,,2016-11-01,105.0
The Road To Fame,100.0,,NR,documentary,HaoWu,,2017-04-17,80.0
Paul Blart: Mall Cop 2,5.0,33.0,PG,comedy,AndyFickman,2015-04-17,2016-11-30,94.0
What We Do In The Shadows,96.0,86.0,R,horror,"JemaineClement,TaikaWaititi",2015-02-13,2016-03-08,86.0
Tangerines,88.0,89.0,NR,drama,ZazaUrushadze,2015-04-17,2016-04-20,83.0
24 Days,79.0,60.0,NR,drama,AlexandreArcady,,2016-08-10,110.0
112 Weddings,76.0,61.0,NR,documentary,DougBlock,,2016-11-30,95.0
Glass Chin,85.0,45.0,NR,drama,NoahBuschel,2015-06-26,2015-06-26,88.0
Goodbye To All That,62.0,31.0,NR,drama,AngusMacLachlan,2014-12-17,2015-11-05,87.0
Clouds Of Sils Maria,90.0,65.0,R,drama,OlivierAssayas,2015-04-10,2016-11-30,123.0
The Water Diviner,61.0,60.0,R,history,RussellCrowe,2015-04-24,2015-07-07,112.0
It Follows,95.0,66.0,R,horror,DavidRobertMitchell,2015-03-27,2016-11-30,101.0
The Salt Of The Earth,95.0,90.0,PG-13,documentary,"WimWenders,JulianoRibeiroSalgado",2015-03-27,2016-08-10,109.0
White God,88.0,71.0,R,drama,KornélMundruczó,2015-03-27,2016-05-22,119.0
Set Fire To The Stars,58.0,37.0,NR,biography,AndyGoddard,2015-06-12,2016-08-10,96.0
Ex Machina,92.0,86.0,R,scifi,AlexGarland,2015-04-24,2016-07-27,107.0
Freedom,0.0,51.0,R,history,PeterCousens,2015-06-05,2016-06-29,93.0
3 Hearts (3 Coeurs),80.0,44.0,PG-13,drama,BenoîtJacquot,,2016-08-10,106.0
Lost Soul: The Doomed Journey Of Richard Stanley's Island Of Dr. Moreau,100.0,87.0,NR,adventure,DavidGregory,,2016-08-18,97.0
The Second Best Exotic Marigold Hotel,65.0,59.0,PG,drama,JohnMadden,2015-03-06,2016-11-30,122.0
Kung Fu Killer,75.0,57.0,NR,action,TeddyChan,2015-04-24,2015-07-06,100.0
Deli Man,81.0,66.0,PG-13,documentary,ErikAnjou,2015-02-27,2016-06-15,91.0
Elimination Game (Turkey Shoot),20.0,6.0,NR,action,JonHewitt,,2016-12-28,90.0
Woman In Gold,57.0,79.0,PG-13,drama,SimonCurtis,2015-04-10,2016-11-30,111.0
5 Flights Up,46.0,43.0,PG-13,drama,RichardLoncraine,2015-05-08,2016-08-16,92.0
Slow West,92.0,74.0,R,mysteryandthriller,JohnMaclean,2015-05-15,2016-10-16,91.0
Wild Horses,17.0,16.0,R,mysteryandthriller,RobertDuvall,2015-06-05,2016-04-14,102.0
Dawn Patrol,0.0,11.0,NR,drama,DanielPetrieJr.,2015-06-05,2016-05-22,88.0
Wild Thing,40.0,56.0,PG-13,action,MaxReid,,2017-05-17,92.0
Le Grand Blond Avec Une Chaussure Noire (The Tall Blond Man With One Black Shoe),67.0,80.0,PG,mysteryandthriller,YvesRobert,,2016-08-10,90.0
The Lovers,8.0,20.0,R,adventure,RolandJoffé,,2017-04-07,105.0
Danny Collins,77.0,73.0,R,drama,DanFogelman,2015-03-20,2016-01-05,106.0
The Gunman,16.0,31.0,R,action,PierreMorel,2015-03-20,2016-01-26,115.0
Before You Know It,79.0,61.0,NR,documentary,PJRaval,,2016-08-10,112.0
If You Build It,78.0,88.0,NR,documentary,PatrickCreadon,2014-01-10,2016-08-10,82.0
Get Hard,28.0,45.0,R,comedy,EtanCohen,2015-03-27,2016-11-09,99.0
"Kumiko, The Treasure Hunter",88.0,62.0,NR,adventure,DavidZellner,2015-03-20,2016-08-10,104.0
