Title,TomatometerScore,AudienceScore,Rating,Genre,Director,R. Date (Theaters),R. Date (Streaming),Runtime
Carmen & Lola (Carmen Y Lola),89.0,59.0,NR,drama,SabrinaFarji,,,87.0
Out Stealing Horses (Ut Og Stjæle Hester),79.0,,NR,drama,HansPetterMoland,2020-08-07,2020-08-07,123.0
Around The Sun,93.0,80.0,NR,drama,OliverKrimpas,,2020-08-04,79.0
Promare,97.0,93.0,PG-13,scifi,HiroyukiImaishi,2019-09-20,2020-04-19,111.0
Waiting For The Barbarians,53.0,64.0,NR,history,CiroGuerra,,2020-08-07,112.0
Fagara (Huajiao Zhiwei),100.0,86.0,NR,drama,HeiwardMak,2019-09-13,2020-03-25,120.0
The Secret Garden,64.0,46.0,PG,fantasy,MarcMunden,,2020-08-07,99.0
Spree,63.0,,NR,comedy,EugeneKotlyarenko,2020-08-14,2020-08-14,92.0
Happy Happy Joy Joy: The Ren & Stimpy Story,78.0,100.0,NR,documentary,"RonCicero,KimoEasterwood",,2020-08-14,104.0
Big Fur,100.0,,NR,documentary,DanWayne,,2020-08-11,76.0
Emperor,77.0,67.0,PG-13,history,MarkAmin,,2020-08-18,99.0
I Used To Go Here,85.0,50.0,NR,comedy,KrisRey,,2020-08-07,80.0
She Dies Tomorrow,85.0,,R,mysteryandthriller,AmySeimetz,2020-07-31,2020-08-07,84.0
Martin Margiela: In His Own Words,78.0,,NR,documentary,RainerHolzemer,2020-08-14,2020-08-14,90.0
Sputnik,89.0,,NR,scifi,EgorAbramenko,2020-08-14,2020-08-14,107.0
Made In Italy,49.0,,R,drama,JamesD'Arcy,2020-08-07,2020-08-07,94.0
"Psychomagic, A Healing Art (Psychomagie, Un Art Pour Guérir)",75.0,,NR,documentary,AlejandroJodorowsky,,2020-08-07,
Max Reload And The Nether Blasters,82.0,,NR,fantasy,"ScottConditt,JeremyTremp",2020-08-07,2020-08-11,101.0
Endless,13.0,,NR,drama,ScottSpeer,2020-08-14,2020-08-14,94.0
Paydirt,22.0,,NR,crime,ChristianSesma,2020-08-07,2020-08-07,85.0
SamSam,20.0,,NR,animation,TanguyDeKermel,2020-08-07,2020-08-07,77.0
The Tax Collector,19.0,72.0,NR,crime,DavidAyer,2020-08-07,2020-08-07,95.0
Uncle Peckerhead,100.0,,NR,horror,MatthewJohnLawrence,2020-08-07,2020-08-11,97.0
The Bay Of Silence,50.0,61.0,NR,mysteryandthriller,PaulavanderOest,,2020-08-14,80.0
Pearl,57.0,,NR,drama,BobbyRoth,2020-08-11,2020-08-11,93.0
Kat And The Band,60.0,,NR,music,E.E.Hegarty,,2020-08-11,92.0
Monstrous,60.0,38.0,NR,horror,BruceWemple,,2020-08-11,86.0
Pretending I'm A Superman: The Tony Hawk Video Game Story,100.0,79.0,NR,documentary,LudvigGür,,2020-08-18,80.0
The American Nurse,100.0,89.0,NR,documentary,CarolynJones,,2017-04-16,81.0
Retaliation (Romans),80.0,,R,drama,"LudwigShammasian,PaulShammasian",2020-07-24,2020-07-24,91.0
House Of Hummingbird (Beolsae),100.0,63.0,NR,drama,BoraKim,2020-06-26,2020-06-26,138.0
Fisherman's Friends,68.0,71.0,PG-13,drama,ChrisFoggin,,2020-07-24,112.0
Babysplitters,69.0,89.0,NR,comedy,SamFriedlander,,2020-07-23,119.0
"Yes, God, Yes",94.0,67.0,R,comedy,KarenMaine,2020-07-24,2020-07-28,78.0
Ride Your Wave,93.0,100.0,NR,anime,MasaakiYuasa,,2020-08-04,94.0
Samurai Marathon,75.0,,NR,history,BernardRose,,2020-05-12,103.0
